MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
240,31,73,.425,12,29,.414,34,50,.680,14,33,47,22,7,3,13,30,108,,240,.568,.507,.397,.685,35.9,75.0,56.6,71.0,7.7,4.3,12.0,100.0,118.8,99.0,
240,28,79,.354,3,10,.300,31,39,.795,11,25,36,16,7,3,11,32,90,,240,.468,.373,.127,.494,25.0,64.1,43.4,57.1,7.7,6.8,10.3,100.0,99.0,118.8,
240,32,84,.381,4,11,.364,16,21,.762,16,40,56,17,5,9,18,25,84,,240,.450,.405,.131,.250,30.8,60.6,47.5,53.1,5.3,10.7,16.2,100.0,88.2,106.1,
240,41,101,.406,4,17,.235,15,31,.484,26,36,62,20,10,17,9,17,101,,240,.441,.426,.168,.307,39.4,69.2,52.5,48.8,10.5,23.3,7.3,100.0,106.1,88.2,
240,38,78,.487,8,21,.381,16,19,.842,9,24,33,17,9,3,10,20,100,,240,.579,.538,.269,.244,23.7,72.7,46.5,44.7,10.5,7.1,10.4,100.0,116.1,117.3,
240,37,70,.529,14,28,.500,13,16,.813,9,29,38,23,5,3,20,20,101,,240,.656,.629,.400,.229,27.3,76.3,53.5,62.2,5.8,5.3,20.6,100.0,117.3,116.1,
240,39,80,.488,7,19,.368,20,26,.769,9,30,39,20,6,7,20,21,105,,240,.574,.531,.238,.325,25.7,76.9,52.7,51.3,6.0,10.6,17.9,100.0,105.7,121.8,
240,49,88,.557,8,22,.364,15,23,.652,9,26,35,28,11,5,12,25,121,,240,.617,.602,.250,.261,23.1,74.3,47.3,57.1,11.1,8.2,10.9,100.0,121.8,105.7,
265,39,80,.488,7,14,.500,21,24,.875,3,32,35,25,9,10,14,25,106,,265,.585,.531,.175,.300,7.9,68.1,41.2,64.1,8.9,12.5,13.4,100.0,104.8,106.8,
265,41,101,.406,6,21,.286,20,29,.690,15,35,50,27,8,9,10,20,108,,265,.475,.436,.208,.287,31.9,92.1,58.8,65.9,7.9,13.6,8.1,100.0,106.8,104.8,
240,31,84,.369,6,26,.231,11,19,.579,8,37,45,15,4,5,15,27,79,,240,.428,.405,.310,.226,17.8,72.5,46.9,48.4,4.2,8.2,14.0,100.0,82.0,92.3,
240,30,85,.353,6,24,.250,23,31,.742,14,37,51,17,7,4,15,21,89,,240,.451,.388,.282,.365,27.5,82.2,53.1,56.7,7.3,6.9,13.2,100.0,92.3,82.0,
240,34,89,.382,6,21,.286,17,30,.567,15,27,42,17,10,5,11,29,91,,240,.445,.416,.236,.337,29.4,65.9,45.7,50.0,10.6,8.9,9.7,100.0,96.7,109.5,
240,38,81,.469,8,25,.320,19,28,.679,14,36,50,22,5,13,17,24,103,,240,.552,.519,.309,.346,34.1,70.6,54.3,57.9,5.3,19.1,15.4,100.0,109.5,96.7,
240,39,86,.453,6,12,.500,17,23,.739,19,28,47,20,8,4,23,21,101,,240,.525,.488,.140,.267,45.2,73.7,58.8,51.3,8.4,6.0,19.3,100.0,105.5,109.7,
240,43,82,.524,4,15,.267,15,20,.750,10,23,33,21,10,5,17,21,105,,240,.578,.549,.183,.244,26.3,54.8,41.3,48.8,10.4,6.8,15.8,100.0,109.7,105.5,
240,36,75,.480,6,19,.316,17,24,.708,7,29,36,20,7,2,14,20,95,,240,.555,.520,.253,.320,17.9,70.7,45.0,55.6,7.7,3.8,14.1,100.0,104.3,117.5,
240,39,81,.481,9,28,.321,20,23,.870,12,32,44,20,9,3,14,17,107,,240,.587,.537,.346,.284,29.3,82.1,55.0,51.3,9.9,5.4,13.3,100.0,117.5,104.3,
